№,Имя,Name,Воспоминание,Translation,Translation footnote,Пол,Кол-во,Возраст,Ориентир возраста,Мотив,Лица,Предметы,Цвета,Звуки,"Запахи, вкус",Другие ощущения,Сущности,Пространство,Время дня,Время года,Поведение,Комментарий
1,Женя,Zhenya,"Мама поставила меня на стул, лицом к окну, шел снег, и она сказала, что мне исполняется четыре года. Помню, что у меня была красная пижама с гоночными машинами, и снег шел очень медленно и как будто вверх.","Mom placed me on a chair, facing the window, it was snowing – and she said I had turned four years old. I remember that I was wearing red pajamas with racing cars, and it was snowing very slow and, as it seemed, upward.",,-,1,4,день рождения,встреча дня рождения,мама,"стул, пижама","красный, белый",голос,-,-,снег,комната,-,зима,пассивное,
2,-,-,"Мне года полтора. Я беру маленький деревянный стульчик и тащу его в комнату из коридора. В комнате двери со стеклянными квадратными вставками, на стены падает солнечный свет.","I am about a year and a half. I take a small wooden chair and drag it from hallway into the room. There are doors with some glass square panels, the sunlight falls on the walls.",,-,1,1.5,-,"перенос предмета, наблюдение",-,стульчик,-,-,-,-,"солнечный свет, деревянный, квадрат","коридор, комната",день,-,"активное, пассивное",
3,Таня,Тanya,"Оно относится к несчастному возрасту, когда меня хотели отдать в ясли. Там была огромная лестница, с которой можно было упасть и разбиться. Это первое, что я помню, и как плакалось, и как никто не верил в опасность. Там пахло супом, и было бесконечно одиноко жить.  
 
Я принесла собачку оттуда, она вертела хвостом, если крутить ключик, а мама с папой со мной серьезно говорили, что могут все достать, и даже собачку, а эту надо вернуть.","It refers to that unfortunate age when I was wanted to go to the nursery. There was huge stairs that you could fall down and get hurt. It is the first thing I remember that I cried and no one believed me it was dangerous. It smelled like soup, and it was infinitely lonely to live.

I brought the dog from there – it was shaking its tail, if you turn it on with a key, and mom and dad were very serious with me – in a way that they could get everything, even a dog, but that one should have been returned
",,ж,2,1-3,ясли,"опасность нового места, заимствование предмета","мама, папа",игрушка,-,-,суп,"страх, одиночество",лестница,"ясли, дом",-,-,"пассивное, активное",
4,Кира,Kira,"Помню, как бабушка меня качает, а мама смеется. Еще — как бабушка расчесывает волосы, седые и длинные. Я сижу за столом напротив окна и вижу ее волосы очень близко.","I remember, my grandmother cradling me in her arms, and my laughing mother. Still — as my grandmother combing her hair, grey and long. I'm sitting at the table in front of the window and I see her hair very close.",,ж,1,-,-,"качание, расчесывание волос","бабушка, мама","стол, окно, волосы",седой,смех,-,-,седые длинные волосы,дом,-,-,пассивное,
5,Настя,Nastya ,"Я лежу в кровати с мамой, позднее утро, выходной, а у меня день рождения. Мне подарили куклу-Ваньку (лялечка такая в дочки-матери играть) в красивой коробке, я очень долго его разглядываю.  
 
Меня везут на санках зимой в садик. 
 
Один мальчик в садике ударил меня ногой в живот.  
 
Я случайно надрезала девочке кожу на ладошке, у нее пошла кровь. Вечером дома, в кругу семьи за ужином я потела и бледнела, но ужасно боялась рассказать об этом родителям, потому что была уверена, что их посадят в тюрьму, так как Света, наверное, истекает кровью и уже почти мертва. 
 
Я размахивала маминой спицей как шпагой и расплакалась от того, что очень, очень и очень захотела брата или сестру.  
 
Семейная трапеза, я пью из стеклянного стакана. Задумалась и надкусила край. Ни единого осколка не попало мне в рот, но родители невероятно испугались. 
 
Я реву, лежа на животе, медсестра делает мне укол в попец. В открытую дверь кабинета я вижу папу, он умиляется мне, а я испытываю чувство обиды и унижения, что я должна терпеть эти дурацкие уколы.  
 
Родители устроили мне бойкот после визита к прабабушке, где у меня случайно слетело с губ ""Дура!"" в ее адрес. Ничего ужаснее этого бойкота со мной не было, я раскаивалась.  
 
Все примерно до шести-семи лет.","I am lying in bed with my mother, late in the morning, weekend, and it’s my birthday. I got the Kewpie doll (a lyalechka* - to play house) in a beautiful box, I am looking at it very long.

I am being taken in a kid’s sled to the kindergarden.
One boy in the kindergarten kicked me in the stomach.

I accidentally slitted the girl's palm skin, it started to bleed. In the evening at home, having dinner with my family, I moved on to sweating and turning white, but I was so terrified to tell my parents truth, because I was sure that they would go to jail, as Sveta was probably bleeding to death.

I was waving my mom's knitting needle as a sword and suddenly cried because of a strong willing to have a brother or sister.

A family meal is being taken; I am drinking from a glass. Took my mind off and bit off the piece of glass edge. Not a single shard got me in my mouth, but the parents were incredibly scared.

I am crying, lying on my front, the nurse is giving me a shot in the butt. In the open office door I can see my Dad, he is ‘awing’ me and I feel a sense of resentment and humiliation that I must handle these stupid injections.

Parents gave me the silent treatment after a visit to grandmother's, where I accidentally blurted ""You fool!"" out to her. Nothing worse than this boycott had happened with me, I repented.

All of these things were under the age of 6-7.
",*Lyalechka (or lyalya) – baby doll,ж,8,<7,-,"кукла, путь до детсада, травма, приченение травма, семейная трапеза, бойкот родителей","мама, бабушка, злой мальчик, девочка, ","кукла, санки, коробка, спица, стеклянный стакан",-,собственный плач,-,"боль, желание иметь брата/сестру, обида, унижение, раскаяние",кровь,"кровать, улица, садик, комната, медицинское учреждение","утро, вечер",зима,"активное, пассивное",
6,Катя,Katya,"Мама пытается меня успокоить, а я от чего-то все кричу и кричу. Совсем маленькая, около года. Мама очень уставшая, почти не спит, потому что я всегда кричу. Усталость я помню, как ее уставшее сияние, такой тусклый свет духа. Моя маленькая кроватка стоит в углу единственной комнаты в нашей квартире, и мне из этого угла, помнится, видно все, маму, папу и сестру, игрушки вокруг нее, веревки с пеленками и одеждами, какие-то нагромождения вещей. Папа какой-то фантомный. И возможность быть ближе к маме от крика до крика, который разрывает все связки у меня внутри.","Mom is trying to calm me down, but I am still screaming and shouting because of something. I am so little, about a year. Mom is very tired, sleepless, because I cry all the time. A fatigue I remember, it was like her tired glow, the dim light of the spirit. My little cot is in the corner of the only room in our apartment, and I remember everything that I saw from that corner – mom, dad and sister, toys around her, strings with diapers and clothes, some heaps of things. Dad is some kind of a phantom. And the opportunity to be closer to my mother from stream to scream that breaks all the cords inside of me.",,ж,1,1,-,крик,"мама, папа, сестра","кроватка, игрушки, веревки, пеленки, одежда",-,собственный крик,-,"сияние, тусклый свет духа, крик, разрывающий внутри связки","нагромождение вещей, усталость мамы, фантомность папы",комната,-,-,-,
7,-,-,"Как-то давно, когда моя семья еще была целой, а папа из этой семьи работал в милиции, этот папа уехал в командировку. Мама что-то делала на кухне, я сидела на диванчике и игралась с неизвестно откуда вытянутыми наручниками. Игра закончилась тем, что я застегнула наручники у себя на ногах и, поняв, что снять их не могу, начала красивую детскую истерику ребенка, который понял, что обманул сам себя, а виновата в этом вселенная. 
 
Пришедшая на мои вопли мама, пережив легкий шок, вызвала милицию, объяснив, что нужны ключи от наручников. Пришедшая милицейская парочка, наржавшись над моей трагедией, расстегнула наручники спичкой, а мама, предварительно спрятав наручники от меня подальше, пошла поить папиных коллег чаем.","Once upon a time, when my family was still intact, and the father of the family worked in the police, this father went on a business trip. Mother was doing something in the kitchen; I was sitting on the couch playing with cuffs (God-knows-where founded). The game had ended when I was chained by my feet and realizing an inability to escape I started a fancy childish tantrum of a kid who felt that [had tricked] himself, but it’s all stars’ fault.

Mother, having hastened towards my screaming, experienced a slight shock, and then called the police, explaining why we needed a handcuff key. A bunch of cops came to laugh over my tragedy and unlock the handcuffs with a match. Afterwards my mother hid the handcuffs away from me and went to make some tea for my father's colleagues.",,ж,1,-,-,"истерика, смех","мама, милицейская парочка","наручники, спичка",-,-,-,"игра, истерика",-,"комната, диванчик",-,-,"активное, пассивное",
8,Яша,Yasha,"К зиме не помню какого возраста. Снег в свете фонаря вечером – рыжие, желтые, ярко белые мухи. Пытаюсь сама надеть колючую безрукавку и вывихиваю руку. 
 
Дача. Бабушка заставляет есть красную икру с гнутой алюминиевой ложки. Встаю на табурет и достаю банку с полки, закапываю в огороде. Не люблю икру. 
 
Боюсь кроликов. 
 
Решила сбежать с дачи в Москву. Иду сквозь лес, под ногами хищные корни, и камушки забиваются в сандалии. Устала, электричка очень далеко. 
 
Нарисовала акварелью больших оранжевых рыб в ярко-изумрудной воде. Воспитательница хвалит. 
 
Экскурсия из пионерского лагеря в город Дмитров. Храм. Я понимаю, очень остро, что все умрут. Бабушка, дедушка, мама, папа, кот Барсик и я.","The winter, I can't remember of what age. 
Snow in the light of an evening lantern – red, yellow, bright white flies. Trying to wear myself into an itchy sleeveless vest – wrenched the arm.

A cottage house. Grandma makes me eat red caviar with a bent aluminum spoon. I stand on a stool, pull a jar out from the shelf, and bury it in the garden. Don't like caviar.

Rabbits scare me.

Decided to run away from the country to Moscow. Going through the forest, predatory roots are under the feet, and the stones stuck in the sandals. Tired, train is so far.

Painted a watercolor of large orange fish in bright emerald water. The kinder garden teacher praises.

A day-trip of the summer camp in the town of Dmitrov. A cathedral. I am keenly aware that everybody will die. Grandma, grandpa, mom, dad, tomcat Barsik and me.
",,ж,6,-,-,"травма, еда, боязнь, побег, рисунок, похвала, экскурсия, мысль","бабушка, дедушка, мама, папа, кот, кролики, воспитательница","фонарь, безрукавка, икра, алюминиевая ложка, камушки, сандали","рыжий, желтый, белый, красный, оранжевый, ярко-изумрудный",-,-,"колючесть одежды, вывих, страх животных, усталость от ходьбы, ощущение близости смерти","снег, храм","комната, дача, ",вечер,"зима, лето",активное,
9,-,-,"Маловероятно, но мне было до года. Потому что меня голой попой взвешивали на огромных металлических весах. Весы стояли на подоконнике, подоконник белый, от окна дует. Мне холодно, я голенькая, я умещаюсь на весы, и они замораживают меня во весь рост. Я громко кричу, но еще не знаю слов. Но я громко кричу о своем холоде.","It’s unlikely, but I was less than a year old. Because I felt huge metal scales by my naked booty while being weighed.
Scales stood on the window sill, the window sill was white, and there was a draught from the window. I'm cold, I'm naked, I fit on the scale, and they freeze me upright. I shout loudly, but don't know any words. But I shout loudly how cold I am.",,ж,1,<1,-,"холод, крик",-,весы,белый,собственный крик,-,ощущение холода,холод,подоконник,-,-,пассивное,
10,-,-,"Помню, как ходить меня учили мама и папа. Около года мне было. 
 
Не знаю до этого, или нет, но помню, я лежу в кроватке, и к нам фотограф пришел какой-то, и мама в синем халате.","Remember how my mom and dad taught me to walk. I was about a year.

Don’t know whether it was before or not, but I remember I was lying in bed, and a photographer came to us and mom was in a blue robe.",,-,2,1,обучение ходьбе,"обучение, фотографирование","мама, папа, фотограф",мамин халат (одежда взрослого),синий,-,-,-,ходьба,кроватка,-,-,"пассивное, активное",
